,City,Cloudiness,Temp,Humidity,Lat,Lng,Wind Speed
0,bluff,12,84.92,30,-23.58,149.07,5.39
1,busselton,76,68.27,82,-33.64,115.35,16.02
2,huancavelica,12,31.64,91,-12.79,-74.97,1.59
3,ilulissat,80,23.0,73,69.22,-51.1,4.61
4,rikitea,36,68.81,100,-23.12,-134.97,19.26
5,atuona,0,79.34,100,-9.8,-139.03,14.45
6,tiksi,12,28.13,96,71.64,128.87,4.83
7,georgetown,0,77.0,94,6.8,-58.16,4.7
8,saint-pierre,0,44.44,93,48.95,4.24,4.7
9,gat,0,77.81,94,14.69,-16.54,4.72
10,vestmannaeyjar,92,41.54,100,63.44,-20.27,17.13
11,poum,32,44.51,95,41.28,20.71,1.7
12,carnarvon,0,37.13,72,-30.97,22.13,9.64
13,carira,0,70.43,87,-10.36,-37.7,10.2
14,norman wells,75,30.2,58,65.28,-126.83,6.93
15,mataura,80,45.14,100,-46.19,168.86,7.18
16,huarmey,88,61.16,81,-10.07,-78.15,2.93
17,hithadhoo,80,83.03,100,-0.6,73.08,23.06
18,hasaki,75,72.39,64,35.73,140.83,13.87
19,hilo,75,76.39,65,19.71,-155.08,11.41
20,raudeberg,92,44.6,75,61.99,5.14,16.11
21,albany,40,55.94,89,42.65,-73.75,2.15
22,shihezi,0,52.7,38,44.3,86.03,8.63
23,jamestown,0,56.03,80,-33.21,138.6,13.0
24,bathsheba,40,82.4,78,13.22,-59.52,10.29
25,guerrero negro,0,67.91,88,27.97,-114.04,6.96
26,vaini,0,75.11,89,15.34,74.49,4.27
27,luganville,0,77.27,100,-15.51,167.18,4.38
28,taoudenni,20,76.1,31,22.68,-3.98,5.61
29,radomsko,48,44.33,83,51.07,19.44,15.23
30,chokurdakh,80,31.73,100,70.62,147.9,11.1
31,kapaa,1,85.71,69,22.08,-159.32,13.87
32,baker city,1,54.86,41,44.77,-117.83,5.82
33,kruisfontein,0,51.62,97,-34.0,24.73,4.05
34,hobart,40,53.6,46,-42.88,147.33,8.05
35,ushuaia,75,32.0,92,-54.81,-68.31,13.87
36,inirida,0,77.81,82,3.87,-67.92,1.7
37,cordoba,56,49.91,84,5.59,-73.79,1.14
38,port alfred,64,59.54,100,-33.59,26.89,6.85
39,sao felix do xingu,0,75.11,93,-6.64,-51.99,1.92
40,surt,12,73.49,100,31.21,16.59,9.53
41,werda,0,41.95,75,50.44,12.3,3.36
42,tuktoyaktuk,75,23.0,85,69.44,-133.03,12.75
43,hermanus,0,39.83,94,-34.42,19.24,4.27
44,geraldton,90,50.0,100,49.72,-86.95,4.7
45,puerto madryn,12,53.96,64,-42.77,-65.04,12.77
46,bredasdorp,0,44.6,87,-34.53,20.04,3.36
47,east london,88,60.53,100,-33.02,27.91,9.75
48,yatou,75,78.8,94,3.63,9.81,2.71
49,maltahohe,0,53.78,32,-24.83,16.98,11.43
50,caravelas,36,77.36,100,-17.73,-39.27,16.58
51,fortuna,0,61.81,82,38.18,-1.13,2.24
52,cape town,0,51.8,71,-33.93,18.42,8.05
53,voh,0,71.78,97,-20.95,164.69,16.35
54,rio gallegos,20,42.8,60,-51.62,-69.22,25.28
55,conroe,1,79.59,93,30.31,-95.46,4.7
56,genhe,0,57.47,50,50.78,121.52,11.21
57,dwarka,40,77.0,83,28.58,77.04,4.7
58,clyde river,90,30.2,92,70.47,-68.59,2.24
59,avarua,40,77.0,47,-21.21,-159.78,13.87
60,mar del plata,32,49.91,50,-46.43,-67.52,7.63
61,tasiilaq,56,30.2,54,65.61,-37.64,3.36
62,kodiak,1,84.02,62,39.95,-94.76,10.29
63,khatanga,64,30.56,94,71.98,102.47,11.99
64,lebu,20,51.8,76,8.96,38.73,4.7
65,chimbote,68,62.6,94,-9.08,-78.59,4.16
66,talnakh,80,30.74,94,69.49,88.39,18.48
67,san quintin,75,77.0,83,17.54,120.52,2.24
68,yerbogachen,64,38.84,61,61.28,108.01,6.73
69,palembang,20,86.0,70,-2.99,104.76,10.29
70,port macquarie,56,71.6,64,-31.43,152.91,3.36
71,arraial do cabo,75,75.2,83,-22.97,-42.02,3.36
72,katsuura,75,64.4,93,33.93,134.5,5.82
73,mastic beach,40,64.62,93,40.77,-72.85,3.83
74,mahajanga,0,73.4,88,-15.72,46.32,7.96
75,bayir,0,59.0,87,37.27,28.22,3.36
76,punta arenas,40,41.0,75,-53.16,-70.91,14.99
77,acapulco,90,82.4,88,16.86,-99.88,6.93
78,naryshkino,92,42.71,96,52.97,35.72,19.82
79,gravdal,92,46.4,87,59.79,5.78,12.75
80,beaverlodge,75,37.4,47,55.21,-119.43,5.82
81,willowmore,0,28.58,79,-33.3,23.49,2.15
82,tuatapere,68,46.94,100,-46.13,167.69,9.86
83,cuamba,20,69.44,51,-14.8,36.54,8.63
84,kavieng,24,85.73,100,-2.57,150.8,4.38
85,richards bay,100,57.83,99,-28.77,32.06,13.89
86,terre haute,1,77.94,69,39.47,-87.41,13.87
